native-country,Precision,Recall,TNR,NPV,F-Score
?,0.6774193548387096,0.7,0.8947368421052632,0.9042553191489362,0.6885245901639343
Cambodia,0.0,,0.6666666666666666,1.0,
Canada,0.75,0.6666666666666666,0.8461538461538461,0.7857142857142857,0.7058823529411765
China,0.875,0.875,0.9,0.9,0.875
Cuba,0.8,1.0,0.9333333333333333,1.0,0.888888888888889
Ecuador,0.5,1.0,0.75,1.0,0.6666666666666666
El-Salvador,1.0,1.0,1.0,1.0,1.0
England,0.75,0.75,0.9,0.9,0.75
Germany,0.6923076923076923,0.8181818181818182,0.8095238095238095,0.8947368421052632,0.7500000000000001
Greece,0.5,1.0,0.8333333333333334,1.0,0.6666666666666666
Honduras,1.0,1.0,1.0,1.0,1.0
Hong,1.0,0.5,1.0,0.8571428571428571,0.6666666666666666
Hungary,0.5,1.0,0.5,1.0,0.6666666666666666
India,0.875,0.7,0.9090909090909091,0.7692307692307693,0.7777777777777777
Iran,0.4,0.5,0.625,0.7142857142857143,0.4444444444444445
Ireland,1.0,1.0,1.0,1.0,1.0
Italy,0.75,0.75,0.9,0.9,0.75
Japan,0.75,0.75,0.8571428571428571,0.8571428571428571,0.75
Laos,0.0,,0.75,1.0,
Mexico,0.3333333333333333,1.0,0.9823008849557522,1.0,0.5
Peru,0.0,,0.8,1.0,
Philippines,0.6875,1.0,0.7916666666666666,1.0,0.8148148148148148
Poland,0.5,0.3333333333333333,0.9090909090909091,0.8333333333333334,0.4
Puerto-Rico,0.8333333333333334,0.8333333333333334,0.9375,0.9375,0.8333333333333334
South,0.5,0.25,0.8888888888888888,0.7272727272727273,0.3333333333333333
Taiwan,1.0,0.8,1.0,0.8571428571428571,0.888888888888889
United-States,0.6097560975609756,0.7777777777777778,0.8819810326659642,0.943630214205186,0.68359375
Columbia,,,,1.0,
Dominican-Republic,,,,1.0,
France,,,,1.0,
Guatemala,,,,1.0,
Haiti,,,,1.0,
Jamaica,,,,0.9230769230769231,
Nicaragua,,,,1.0,
Portugal,,,,1.0,
Scotland,,,,1.0,
Thailand,,,,1.0,
Trinadad&Tobago,,,,1.0,
Vietnam,,,,1.0,
Yugoslavia,,,,1.0,
